,Tipo de cambio
2015-02-03,0.024486028959369577
2015-02-04,-0.024486028959369577
2015-02-05,0.1374208399387733
2015-02-06,0.16916343338193585
2015-02-07,0.020655919402656764
2015-02-10,0.02252886520368591
2015-02-11,-0.020651265902049687
2015-02-12,0.005632586391257632
2015-02-13,-0.24437021070937703
2015-02-14,-0.03576571611914048
2015-02-17,-0.05273069802029795
2015-02-18,-0.018839132702108685
2015-02-19,-0.05653870224673341
2015-02-20,-0.03582438547642397
2015-02-21,-0.056590962047575744
2015-02-24,-0.1246129607669566
2015-02-25,-0.08883429209625149
2015-02-26,-0.022693747969881883
2015-02-27,-0.015132026963904366
2015-02-28,0.009457785182931389
2015-03-03,-0.14764341126074498
2015-03-04,-0.02462844218609206
2015-03-05,0.16281406826390565
2015-03-06,0.02080594679298997
2015-03-07,-0.013239647088258977
2015-03-10,0.015130882159297698
2015-03-11,-0.02458884624498836
2015-03-12,-0.04541068364343204
2015-03-13,-0.157204445463055
2015-03-14,-0.13087641635562974
2015-03-17,0.0094895567499087
2015-03-18,-0.04745679148285831
2015-03-19,0.00569600425457395
2015-03-20,-0.041778234148015514
2015-03-21,-0.005698384509500443
2015-03-24,0.017094179473531312
2015-03-25,-0.017094179473531312
2015-03-26,-0.005698709243961986
2015-03-27,0.005698709243961986
2015-03-28,0.001899497582957821
2015-03-31,0.1708072002454486
2015-04-01,-0.0018962558429258536
2015-04-02,-0.13282734400723584
2015-04-03,0.0
2015-04-04,0.0
2015-04-07,0.013290676609933882
2015-04-08,-0.05127377458817861
2015-04-09,0.001899497582957821
2015-04-10,0.001899461502663513
2015-04-11,-0.032295753389188775
2015-04-14,0.011399692220681601
2015-04-15,-0.06271439500871168
2015-04-16,-0.05324307490433
2015-04-17,-0.058980775880090874
2015-04-18,-0.015226494129105816
2015-04-21,0.039964603312281355
2015-04-22,0.047556093307310476
2015-04-23,-0.0038036553132059225
2015-04-24,0.019016829951734593
2015-04-25,0.007605719504777397
2015-04-28,0.06272512346763293
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.007600372421912027
2015-05-02,0.0
2015-05-05,-0.007600372421912027
2015-05-06,-0.00760095012237727
2015-05-07,0.001900291694756362
2015-05-08,-0.005700983421164096
2015-05-09,0.08358186760162312
2015-05-12,0.02088455594684291
2015-05-13,-0.005695355439172545
2015-05-14,0.007593735172140015
2015-05-15,0.0018983436951280908
2015-05-16,0.0037965792825112032
2015-05-19,0.00759272617205653
2015-05-20,-0.015186028882663294
2015-05-21,-0.001898415772139117
2015-05-22,-0.007594023507095926
2015-05-23,-0.0037972280240161638
2015-05-26,0.0037972280240161638
2015-05-27,-0.011392116667607866
2015-05-28,0.2048597996372692
2015-05-29,0.06440613975247089
2015-05-30,0.41197427683430377
2015-06-02,0.03771094604889669
2015-06-03,0.0037703125594035214
2015-06-04,-0.009426047947869165
2015-06-05,-0.003770667974301034
2015-06-06,-0.0037708101590538945
2015-06-09,0.0075414781333549286
2015-06-10,-0.07544038681510656
2015-06-11,-0.0018867390545906915
2015-06-12,-0.01886934868604584
2015-06-13,-0.001887130712230345
2015-06-16,0.003774225812414045
2015-06-17,-0.005661392137845667
2015-06-18,0.007548451627403807
2015-06-19,-0.10006325587346154
2015-06-20,-0.017001823014251016
2015-06-23,-0.0812708537536011
2015-06-24,-0.017018540795721293
2015-06-25,-0.0018911277741118226
2015-06-26,0.005673276034734442
2015-06-27,-0.03404448512229763
2015-06-30,0.015132313192101066
2015-07-01,-0.0454038109163335
2015-07-02,0.0037844383897756018
2015-07-03,-0.001892201292452711
2015-07-04,-0.018923982419316587
2015-07-07,0.011354819186681908
2015-07-08,-0.018925414996218137
2015-07-09,-0.011356968458731131
2015-07-10,-0.0018929534807199389
2015-07-11,-0.0037860144630030845
2015-07-14,0.017035936402454155
2015-07-15,-0.007571168992104305
2015-07-16,0.0
2015-07-17,0.0037856561493576635
2015-07-18,-0.0018928101606974224
2015-07-21,0.009463692550593095
2015-07-22,-0.011356538539253336
2015-07-23,-0.00946476741034985
2015-07-24,0.011357613399010091
2015-07-25,-0.0037857278066155686
2015-07-28,0.018927206022389953
2015-07-29,-0.00567778566518129
2015-07-30,0.009462797020631797
2015-07-31,0.0037848680977781157
2015-08-01,-0.0018924161423683472
2015-08-04,0.0037847964730275407
2015-08-05,-0.026496583988322442
2015-08-06,-0.003785799466626827
2015-08-07,-0.0018929534807199389
2015-08-08,0.007571598936007007
2015-08-11,0.0246037379996622
2015-08-12,-0.009462259783887816
2015-08-13,0.0
2015-08-14,-0.007570452527438931
2015-08-15,-0.11362561586096831
2015-08-18,-0.041695095744742616
2015-08-19,-0.03223084899302009
2015-08-20,-0.0018962558429258536
2015-08-21,-0.0018962918014509
2015-08-22,-0.0037926914839836456
2015-08-25,0.011377642943966038
2015-08-26,-0.005688659658531492
2015-08-27,0.015169040018481184
2015-08-28,0.001895968223575295
2015-08-29,0.3047830545126473
2015-09-01,0.02456932815251278
2015-09-02,0.03212001576935464
2015-09-03,0.024555405618098547
2015-09-04,0.3017276182131212
2015-09-05,0.06964509518896378
2015-09-08,0.009407780241144081
2015-09-09,-0.005644561936435366
2015-09-10,-0.035756293017996654
2015-09-11,-0.2676368523692574
2015-09-12,-0.3232486439594062
2015-09-15,-0.10608673584791006
2015-09-16,0.0
2015-09-17,-0.032227182959676526
2015-09-18,-0.013273035847216619
2015-09-19,0.015169040018481184
2015-09-22,-0.007584232384516554
2015-09-23,-0.0018961479754331378
2015-09-24,0.0018961479754331378
2015-09-25,0.04739201817560712
