periodo,pib
1991Q1,2.2521949330313897
1991Q2,2.14696067696709
1991Q3,2.16899694513508
1991Q4,2.37136118899354
1992Q1,2.45105490583578
1992Q2,2.3150434197384797
1992Q3,2.45841186555205
1992Q4,2.5371313858182902
1993Q1,2.65980600384002
1993Q2,2.4862836538492
1993Q3,2.5807370101418603
1993Q4,2.7266729396708196
1994Q1,2.7449058448507397
1994Q2,2.65671929912485
1994Q3,2.69716586674507
1994Q4,2.8237850344588598
1995Q1,2.95431814431071
1995Q2,2.73578574971668
1995Q3,2.75823013397905
1995Q4,2.92441559521945
1996Q1,2.93591265550963
1996Q2,2.74169401142003
1996Q3,2.80984577225771
1996Q4,3.02607093920501
1997Q1,2.99327278536312
1997Q2,2.9453035671622
1997Q3,2.9499354567459
1997Q4,3.2657328756594297
1998Q1,3.3223963830087198
1998Q2,3.10914851752661
1998Q3,3.1266437291481
1998Q4,3.44219813837881
1999Q1,3.4091964373150003
1999Q2,3.2651148072672997
1999Q3,3.2737164461396997
1999Q4,3.56501029534598
2000Q1,3.58211059760607
2000Q2,3.37513385257071
2000Q3,3.40334861203996
2000Q4,3.67042219088831
2001Q1,3.70161414393925
2001Q2,3.49565174008465
2001Q3,3.53710918429719
2001Q4,3.78638849582404
2002Q1,3.74512896558409
2002Q2,3.67859844430278
2002Q3,3.67209500390909
2002Q4,3.90292884414127
2003Q1,3.9312197136917
2003Q2,3.7744250624114697
2003Q3,3.830142910715
2003Q4,4.1012319571028595
2004Q1,4.1131496710448
2004Q2,3.97773094212928
2004Q3,3.97557305333507
2004Q4,4.24867703238092
2005Q1,4.20013719885758
2005Q2,4.14425558618159
2005Q3,4.15984503375603
2005Q4,4.442430922358031
2006Q1,4.477497926826359
2006Q2,4.3937061497412
2006Q3,4.4709215234014
2006Q4,4.83109773394298
2007Q1,4.88867598004189
2007Q2,4.801474916509711
2007Q3,4.8238534976600205
2007Q4,5.14358894878713
2008Q1,5.22087528371719
2008Q2,5.10127909932048
2008Q3,5.045243395325071
2008Q4,5.20419467732308
2009Q1,5.10651517996148
2009Q2,4.9657578447084205
2009Q3,5.00842941075221
2009Q4,5.291232776798879
2010Q1,5.35130479085888
2010Q2,5.2293335569584904
2010Q3,5.277162999349329
2010Q4,5.522924359179539
2011Q1,5.58004636880497
2011Q2,5.4845359791639
2011Q3,5.47706022329459
2011Q4,5.759972726872211
2012Q1,5.914827561635031
2012Q2,5.7223195847346195
2012Q3,5.72339667519626
2012Q4,6.0108621028858495
2013Q1,5.98211704729945
2013Q2,5.88854571342188
2013Q3,5.8938837301617495
2013Q4,6.13716303794141
2014Q1,6.239350538008599
2014Q2,6.0593349074733
2014Q3,6.07446571947172
2014Q4,6.3687843763576195
2015Q1,6.379572758506621
2015Q2,6.31743695786646
2015Q3,6.36982266344914
2015Q4,6.57366381377546
2016Q1,6.67459273196844
2016Q2,6.58443149353247
2016Q3,6.58475139908689
2016Q4,6.88541344212417
2017Q1,6.94494380602501
2017Q2,6.8731657081784805
2017Q3,6.8152095398151
2017Q4,7.12766975578247
2018Q1,7.16691381789393
2018Q2,7.12791630022467
2018Q3,6.98478710789832
2018Q4,7.21991807143765
2019Q1,7.322406728019311
2019Q2,7.17711724930268
2019Q3,7.15079583449178
